FrameNum,timeInfo,signal-target
3346.00,[12:57:07.8783],405201
3347.00,[12:57:07.8984],492205
3348.00,[12:57:07.9184],327597
3349.00,[12:57:07.9385],425180
3350.00,[12:57:07.9585],419128
3351.00,[12:57:07.9785],420265
3352.00,[12:57:07.9986],466441
3353.00,[12:57:08.0186],440496
3354.00,[12:57:08.0386],403854
3355.00,[12:57:08.0587],460248
3356.00,[12:57:08.0787],372524
3357.00,[12:57:08.0988],362846
3358.00,[12:57:08.1188],401150
3359.00,[12:57:08.1388],337210
3360.00,[12:57:08.1589],342387
3361.00,[12:57:08.1789],378241
3362.00,[12:57:08.1990],373218
3363.00,[12:57:08.2190],436837
3364.00,[12:57:08.2390],378531
3365.00,[12:57:08.2591],458439
3366.00,[12:57:08.2791],450489
3367.00,[12:57:08.2992],358346
3368.00,[12:57:08.3192],387374
3369.00,[12:57:08.3392],383499
3370.00,[12:57:08.3593],376598
3371.00,[12:57:08.3793],331588
3372.00,[12:57:08.3993],404371
3373.00,[12:57:08.4194],425274
3374.00,[12:57:08.4394],417395
3375.00,[12:57:08.4595],399669
3376.00,[12:57:08.4795],465755
3377.00,[12:57:08.4995],431400
3378.00,[12:57:08.5196],433102
3379.00,[12:57:08.5396],426198
3380.00,[12:57:08.5597],359893
3381.00,[12:57:08.5797],357647
3382.00,[12:57:08.5997],378286
3383.00,[12:57:08.6198],425312
3384.00,[12:57:08.6398],380384
3385.00,[12:57:08.6598],355140
3386.00,[12:57:08.6799],368561
3387.00,[12:57:08.6999],436621
3388.00,[12:57:08.7200],407905
3389.00,[12:57:08.7400],363839
3390.00,[12:57:08.7600],439761
3391.00,[12:57:08.7801],380960
3392.00,[12:57:08.8001],401564
3393.00,[12:57:08.8202],383730
3394.00,[12:57:08.8402],374093
3395.00,[12:57:08.8602],438317
3396.00,[12:57:08.8803],415647
3397.00,[12:57:08.9003],420246
3398.00,[12:57:08.9204],454584
3399.00,[12:57:08.9404],501569
3400.00,[12:57:08.9604],414419
3401.00,[12:57:08.9805],393344
3402.00,[12:57:09.0005],356639
3403.00,[12:57:09.0205],440918
3404.00,[12:57:09.0406],440608
3405.00,[12:57:09.0606],500902
3406.00,[12:57:09.0807],441138
3407.00,[12:57:09.1007],298337
3408.00,[12:57:09.1207],394751
3409.00,[12:57:09.1408],443134
3410.00,[12:57:09.1608],377004
3411.00,[12:57:09.1809],428038
3412.00,[12:57:09.2009],384808
3413.00,[12:57:09.2209],358396
